time,milk,no_milk
0,0.505924358,0.477632828
0.5,0.505924358,0.492539444
1,0.495986004,0.472663956
1.5,0.491016827,0.487570572
2,0.481078472,0.477632828
2.5,0.486047649,0.4826017
3,0.471140118,0.477632828
3.5,0.481078472,0.472663956
4,0.481078472,0.477632828
4.5,0.471140118,0.472663956
5,0.471140118,0.467695084
5.5,0.46617094,0.467695084
6,0.476109295,0.472663956
6.5,0.481078472,0.477632828
7,0.476109295,0.467695084
7.5,0.476109295,0.462726212
8,0.486047649,0.472663956
8.5,0.471140118,0.467695084
9,0.471140118,0.467695084
9.5,0.476109295,0.462726212
10,0.476109295,0.462726212
10.5,0.486047649,0.477632828
11,0.471140118,0.467695084
11.5,0.476109295,0.467695084
12,0.471140118,0.472663956
12.5,0.481078472,0.472663956
13,0.481078472,0.472663956
13.5,0.481078472,0.477632828
14,0.486047649,0.4826017
14.5,0.481078472,0.4826017
15,0.486047649,0.472663956
15.5,0.481078472,0.477632828
16,0.486047649,0.487570572
16.5,0.486047649,0.472663956
17,0.495986004,0.477632828
17.5,0.481078472,0.477632828
18,0.481078472,0.4826017
18.5,0.491016827,0.487570572
19,0.481078472,0.477632828
19.5,0.491016827,0.497508316
20,0.505924358,0.487570572
20.5,0.500955181,0.487570572
21,0.495986004,0.492539444
21.5,0.491016827,0.4826017
22,0.495986004,0.492539444
22.5,0.495986004,0.4826017
23,0.505924358,0.4826017
23.5,0.500955181,0.492539444
24,0.510893536,0.492539444
24.5,0.491016827,0.477632828
25,0.500955181,0.497508316
25.5,0.500955181,0.492539444
26,0.505924358,0.492539444
26.5,0.505924358,0.487570572
27,0.495986004,0.497508316
27.5,0.500955181,0.487570572
28,0.500955181,0.497508316
28.5,0.500955181,0.477632828
29,0.510893536,0.497508316
29.5,0.505924358,0.492539444
30,0.550646954,0.497508316
30.5,0.625184612,0.497508316
31,0.669907207,0.492539444
31.5,0.699722271,0.502477188
32,0.71959898,0.492539444
32.5,0.724568157,0.492539444
33,0.734506512,0.502477188
33.5,0.734506512,0.497508316
34,0.734506512,0.497508316
34.5,0.749414043,0.502477188
35,0.749414043,0.512414932
35.5,0.759352398,0.497508316
36,0.764321575,0.50744606
36.5,0.764321575,0.502477188
37,0.77425993,0.502477188
37.5,0.77425993,0.502477188
38,0.779229107,0.502477188
38.5,0.779229107,0.502477188
39,0.77425993,0.50744606
39.5,0.784198284,0.50744606
40,0.784198284,0.502477188
40.5,0.794136639,0.50744606
41,0.779229107,0.497508316
41.5,0.794136639,0.512414932
42,0.794136639,0.512414932
42.5,0.789167461,0.502477188
43,0.794136639,0.502477188
43.5,0.789167461,0.502477188
44,0.794136639,0.502477188
44.5,0.784198284,0.512414932
45,0.799105816,0.512414932
45.5,0.804074993,0.512414932
46,0.789167461,0.517383804
46.5,0.794136639,0.512414932
47,0.784198284,0.517383804
47.5,0.789167461,0.512414932
48,0.799105816,0.50744606
48.5,0.799105816,0.517383804
49,0.799105816,0.517383804
49.5,0.794136639,0.512414932
50,0.799105816,0.512414932
50.5,0.794136639,0.512414932
51,0.80904417,0.532290421
51.5,0.794136639,0.517383804
52,0.799105816,0.527321548
52.5,0.804074993,0.522352676
53,0.804074993,0.522352676
53.5,0.794136639,0.517383804
54,0.804074993,0.527321548
54.5,0.804074993,0.527321548
55,0.814013348,0.532290421
55.5,0.804074993,0.537259293
56,0.80904417,0.532290421
56.5,0.80904417,0.532290421
57,0.80904417,0.522352676
57.5,0.814013348,0.522352676
58,0.80904417,0.522352676
58.5,0.814013348,0.537259293
59,0.80904417,0.527321548
59.5,0.80904417,0.532290421
60,0.814013348,0.532290421
60.5,0.80904417,0.537259293
61,0.814013348,0.537259293
61.5,0.804074993,0.542228165
62,0.80904417,0.527321548
62.5,0.799105816,0.527321548
63,0.818982525,0.532290421
63.5,0.814013348,0.547197037
64,0.814013348,0.547197037
64.5,0.804074993,0.537259293
65,0.818982525,0.547197037
65.5,0.80904417,0.542228165
66,0.818982525,0.537259293
66.5,0.80904417,0.542228165
67,0.823951702,0.552165909
67.5,0.823951702,0.557134781
68,0.814013348,0.542228165
68.5,0.818982525,0.547197037
69,0.814013348,0.542228165
69.5,0.814013348,0.542228165
70,0.814013348,0.552165909
70.5,0.818982525,0.552165909
71,0.823951702,0.552165909
71.5,0.818982525,0.552165909
72,0.818982525,0.552165909
72.5,0.828920879,0.557134781
73,0.828920879,0.562103653
73.5,0.828920879,0.557134781
74,0.828920879,0.557134781
74.5,0.818982525,0.552165909
75,0.818982525,0.542228165
75.5,0.823951702,0.552165909
76,0.814013348,0.557134781
76.5,0.818982525,0.557134781
77,0.814013348,0.547197037
77.5,0.823951702,0.557134781
78,0.823951702,0.557134781
78.5,0.823951702,0.567072525
79,0.823951702,0.562103653
79.5,0.818982525,0.562103653
80,0.823951702,0.567072525
80.5,0.828920879,0.567072525
81,0.833890057,0.567072525
81.5,0.823951702,0.562103653
82,0.833890057,0.567072525
82.5,0.818982525,0.552165909
83,0.823951702,0.567072525
83.5,0.823951702,0.567072525
84,0.838859234,0.572041397
84.5,0.828920879,0.572041397
85,0.833890057,0.567072525
85.5,0.833890057,0.567072525
86,0.843828411,0.577010269
86.5,0.823951702,0.572041397
87,0.818982525,0.562103653
87.5,0.833890057,0.567072525
88,0.833890057,0.572041397
88.5,0.823951702,0.572041397
89,0.828920879,0.567072525
89.5,0.833890057,0.581979141
90,0.828920879,0.572041397
90.5,0.833890057,0.572041397
91,0.828920879,0.567072525
91.5,0.823951702,0.562103653
92,0.828920879,0.577010269
92.5,0.833890057,0.572041397
93,0.833890057,0.581979141
93.5,0.828920879,0.572041397
94,0.833890057,0.581979141
94.5,0.828920879,0.581979141
95,0.838859234,0.577010269
95.5,0.843828411,0.577010269
96,0.833890057,0.577010269
96.5,0.838859234,0.581979141
97,0.833890057,0.581979141
97.5,0.833890057,0.572041397
98,0.828920879,0.577010269
98.5,0.833890057,0.577010269
99,0.838859234,0.567072525
99.5,0.838859234,0.577010269
100,0.823951702,0.567072525
100.5,0.838859234,0.577010269
101,0.828920879,0.577010269
101.5,0.838859234,0.581979141
102,0.833890057,0.581979141
102.5,0.833890057,0.586948013
103,0.838859234,0.581979141
103.5,0.843828411,0.586948013
104,0.838859234,0.581979141
104.5,0.838859234,0.591916885
105,0.838859234,0.591916885
105.5,0.838859234,0.586948013
106,0.843828411,0.60185463
106.5,0.838859234,0.586948013
107,0.843828411,0.591916885
107.5,0.838859234,0.586948013
108,0.843828411,0.591916885
108.5,0.838859234,0.581979141
109,0.833890057,0.577010269
109.5,0.843828411,0.586948013
110,0.838859234,0.581979141
110.5,0.843828411,0.591916885
111,0.843828411,0.591916885
111.5,0.853766766,0.596885757
112,0.843828411,0.591916885
112.5,0.858735943,0.596885757
113,0.848797588,0.581979141
113.5,0.843828411,0.586948013
114,0.848797588,0.60185463
114.5,0.843828411,0.596885757
115,0.843828411,0.596885757
115.5,0.848797588,0.596885757
116,0.853766766,0.60185463
116.5,0.853766766,0.596885757
117,0.853766766,0.596885757
117.5,0.843828411,0.596885757
118,0.848797588,0.596885757
118.5,0.843828411,0.60185463
119,0.843828411,0.60185463
119.5,0.858735943,0.60185463
120,0.858735943,0.60185463
120.5,0.848797588,0.60185463
121,0.853766766,0.606823502
121.5,0.848797588,0.60185463
122,0.848797588,0.606823502
122.5,0.853766766,0.606823502
123,0.848797588,0.606823502
123.5,0.858735943,0.616761246
124,0.838859234,0.606823502
124.5,0.843828411,0.606823502
125,0.848797588,0.616761246
125.5,0.858735943,0.606823502
126,0.848797588,0.60185463
126.5,0.838859234,0.596885757
127,0.848797588,0.60185463
127.5,0.853766766,0.616761246
128,0.858735943,0.611792374
128.5,0.858735943,0.616761246
129,0.848797588,0.611792374
129.5,0.848797588,0.606823502
130,0.858735943,0.606823502
130.5,0.858735943,0.611792374
131,0.858735943,0.616761246
131.5,0.858735943,0.621730118
132,0.858735943,0.621730118
132.5,0.853766766,0.611792374
133,0.86370512,0.616761246
133.5,0.868674297,0.62669899
134,0.868674297,0.621730118
134.5,0.868674297,0.631667862
135,0.858735943,0.621730118
