freq,gain,phase
0.1043081283569336,-23.490215659547747,-96.385019495245
0.11920928955078125,-22.306248215730285,-97.12918569162801
0.11920928955078125,-22.33648955126483,-97.21253290327407
0.1341104507446289,-21.27081635241112,-97.58362246826051
0.16391277313232422,-19.573502525862516,-98.94790075161099
0.17881393432617188,-18.84677342759861,-99.39814659578379
0.19371509552001953,-18.165991163684026,-100.10985655648201
0.22351741790771484,-16.990100250538728,-101.34646605710114
0.25331974029541016,-15.910348977738156,-102.60306857168683
0.28312206268310547,-14.989845092541586,-103.94219316315618
0.3129243850708008,-14.159226393049734,-105.06241527649135
0.35762786865234375,-13.069374741608675,-106.82114942820922
0.4023313522338867,-12.140223804194797,-108.72221203518384
0.4470348358154297,-11.317998864993694,-110.46976418590651
0.5066394805908203,-10.341186677843034,-112.86866571052971
0.5662441253662109,-9.5250752300808,-115.09842192881253
0.6258487701416016,-8.777701155443205,-117.40891363226247
0.7152557373046875,-7.82446942629467,-120.60428475499329
0.7897615432739258,-7.158601843975503,-123.28852820219963
0.8940696716308594,-6.356721699949539,-126.77124531179703
0.998377799987793,-5.690713058968459,-130.1360421685694
1.1175870895385742,-5.058114955940638,-133.68945810291615
1.2516975402832031,-4.476159983172158,-137.5137548481077
1.4156103134155273,-3.890761340115012,-141.7532691671268
1.5795230865478516,-3.422763325496427,-145.68527837125114
1.773238182067871,-2.9874946382357375,-149.9044963638806
1.996755599975586,-2.606596112899581,-154.37229607192666
2.2351741790771484,-2.304835623055956,-158.6074059684342
2.518296241760254,-2.029751903746282,-163.1090894527231
2.816319465637207,-1.8166786497267895,-167.4551700119367
3.159046173095703,-1.6470466199506713,-171.8608777211097
3.546476364135742,-1.5135276044498518,-176.3956099733762
3.978610038757324,-1.4216765452892453,179.04393008934775
4.470348358154297,-1.3672369743169799,174.28308703194358
5.0067901611328125,-1.3557770826702704,169.58921482739953
5.617737770080566,-1.380310141999673,164.65769357569354
6.303191184997559,-1.4303594363793626,159.47817448955496
7.078051567077637,-1.5297953464288923,154.06294635967612
7.942318916320801,-1.673903273431237,148.3782069181036
8.910894393920898,-1.8654815113082488,142.42215752341926
9.998679161071777,-2.11808209502157,136.08669642831626
11.220574378967285,-2.4248874105763134,129.38790742234664
12.59148120880127,-2.8043311765863876,122.24842327463826
14.126300811767578,-3.269492093053878,114.7373202708584
15.854835510253906,-3.8260916656942245,106.80208470953563
17.777085304260254,-4.488670451921359,98.53514546657215
19.95265483856201,-5.269259250073643,89.8479659717639
22.38154411315918,-6.170698861186892,80.82796974820374
25.12335777282715,-7.211638501914316,71.59539587838543
28.178095817565918,-8.378554128848311,62.193691455891226
31.620264053344727,-9.705309947955396,52.76272069025825
35.47966480255127,-11.188582539804932,43.16777695667514
39.81590270996094,-12.787065283828781,33.88057647183853
44.67368125915527,-14.575317044336336,24.59041284787768
50.11260509490967,-16.469293661345827,15.657751112692155
56.236982345581055,-18.51650164006155,6.997107724275972
63.09151649475098,-20.667976841758477,-1.3049895498239497
70.79541683197021,-23.067769910765282,-9.247665160382748
79.43809032440186,-25.489153149345682,-16.830179820815086
89.12384510040283,-27.895855881314034,-23.55412496562187
100.00169277191162,-30.644437807998187,-30.651811815940306
112.20574378967285,-33.26974897289456,-36.36783053804751
125.89991092681885,-36.01747123800379,-41.6777895154886
141.24810695648193,-39.16627344642092,-47.0320893704286
158.48875045776367,-42.12583725662719,-50.92313777605968
177.83045768737793,-44.77831031391663,-58.66500665739322
199.52654838562012,-47.683515907411746,-66.329421253974
223.8750457763672,-52.18938594472622,-64.40479296427223
251.18887424468994,-53.959500117948515,-86.71772982519622
281.84056282043457,-55.509800646154915,-87.4227230730287
316.23244285583496,-62.10933583298245,-120.91941227342531
354.81154918670654,-64.65737854993392,-115.20457191134042
398.11432361602783,-61.475757898478406,-128.41172179966415
446.67720794677734,-73.93820627117545,-109.28424784324768
501.18565559387207,-62.8288300698603,-119.64621311440358
562.3400211334229,-70.14269008729886,161.77865571869478
630.9598684310913,-63.2561959264363,-164.15489193188577
707.9392671585083,-71.1010715374174,-139.60674984981065
794.3212985992432,-77.65144866653114,109.99284571630015
891.2533521652222,-61.5457524328762,170.75248528276123
1000.0020265579224,-62.98319739873024,-160.19559729216468
1122.012734413147,-66.15792725851618,-166.66810829791586
1258.9246034622192,-61.73647456439913,-169.02647492046455
1412.5406742095947,-64.87015013471292,142.78011025512333
1584.8875045776367,-62.618546329144856,-101.64761327368093
1778.2747745513916,-79.36270976850567,136.24617689375577
1995.2654838562012,-65.70442208574127,-147.1631293785162
2238.720655441284,-61.363431458644044,-154.5243975173521
2511.8887424468994,-62.56392779176694,-147.68345299511813
2818.375825881958,-72.53057430819518,-86.7501801394886
3162.279725074768,-59.35326075296971,-165.55902476410154
3548.1303930282593,-63.7180277118372,-117.72666911858812
3981.068730354309,-78.3707157485347,-129.10570895406082
4466.831684112549,-71.05799464691272,-95.60695177398401
5011.871457099915,-62.809078369434445,-141.060265961664
5623.415112495422,-63.75219971940258,-108.07257433556168
6309.568881988525,-58.62203517452775,-129.76185365591496
7079.452276229858,-57.331975275102714,-138.41030268359836
7943.287491798401,-56.80640754188712,-177.62799068481348
8912.503719329834,-54.74765456336782,-135.9371697458786
10000.00536441803,-58.04507060233352,-139.81388376919767
